"Region","Fetch Date","Source API","Avg Temp (°C)","Total Rain (mm)","Avg Humidity (%)","NDVI","LST (°C)","Risk Score","Confidence","Recommended Tree"
"Manshera","2026-01-24T07:45:21.398Z","Unified Python Pipeline",,,,,,"N/A","N/A","N/A"
"abbottabad","2026-01-23T13:10:56.004Z","Unified Python Pipeline",,,,,,"N/A","N/A","N/A"
"chichawatni","2026-01-23T05:18:36.912Z","Unified Python Pipeline",,,,,,"N/A","N/A","N/A"
"Karachi (Clifton Urban Forest zone)","2026-01-21T14:46:24.143Z","Unified Python Pipeline",,,,,,"N/A","N/A","N/A"
"Tolipir","2026-01-21T07:39:26.126Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Pir Chinasi","2026-01-21T07:39:18.946Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Mong","2026-01-21T07:39:11.689Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Forward Kahuta","2026-01-21T07:39:03.149Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Reshian","2026-01-21T07:38:53.980Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Leepa","2026-01-21T07:38:46.389Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Sharda","2026-01-21T07:38:38.671Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Keran","2026-01-21T07:38:31.552Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Bhimber","2026-01-21T07:38:24.328Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Kotli","2026-01-21T07:38:16.394Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Bagh","2026-01-21T07:38:08.976Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Rawalakot","2026-01-21T07:38:01.232Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Muzaffarabad","2026-01-21T07:37:54.033Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Naltar Bala","2026-01-21T07:37:46.177Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Bagrot Valley","2026-01-21T07:37:39.095Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Yasin","2026-01-21T07:37:31.330Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Phander","2026-01-21T07:37:23.653Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Gahkuch","2026-01-21T07:37:15.671Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Nagar","2026-01-21T07:37:06.045Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Hunza","2026-01-21T07:36:58.259Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Rama Meadows","2026-01-21T07:36:50.279Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Astore","2026-01-21T07:36:42.491Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Skardu","2026-01-21T07:36:35.422Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Gilgit","2026-01-21T07:36:28.744Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Suleiman Range","2026-01-21T07:36:21.718Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Takatu Mountain","2026-01-21T07:36:11.861Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Harboi","2026-01-21T07:36:04.922Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Hanna","2026-01-21T07:35:56.992Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Zarghoon","2026-01-21T07:35:50.078Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Musakhel","2026-01-21T07:35:42.147Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Barkhan","2026-01-21T07:35:34.414Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Harnai","2026-01-21T07:35:27.652Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Loralai","2026-01-21T07:35:19.870Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Khuzdar","2026-01-21T07:35:12.176Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Kalat","2026-01-21T07:35:02.751Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Quetta","2026-01-21T07:34:55.190Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Ziarat","2026-01-21T07:34:47.814Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Clifton","2026-01-21T07:34:40.228Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Karachi","2026-01-21T07:34:32.971Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Badin","2026-01-21T07:34:25.901Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Sinjhoro","2026-01-21T07:34:18.074Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Sanghar","2026-01-21T07:34:11.057Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Ghorabari","2026-01-21T07:34:03.523Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Mirpur Sakro","2026-01-21T07:33:56.612Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Jati","2026-01-21T07:33:49.419Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
"Kharo Chan","2026-01-21T07:33:42.069Z","Unified Python Pipeline (Seeded)",,,,,,"N/A","N/A","N/A"
